"No.","Time","Source","Destination","Protocol","Length","Info"
"533","23.254578","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"544","24.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"545","24.251164","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"546","24.254991","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"558","25.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"559","25.251004","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"560","25.251701","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"571","26.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"572","26.250824","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"584","27.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"585","27.255836","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"597","28.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"598","28.254238","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"609","29.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"610","29.251704","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"611","29.255750","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"623","30.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"624","30.251624","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"625","30.252441","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"636","31.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"637","31.251184","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"638","31.257989","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"649","32.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"650","32.252122","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"661","33.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"662","33.250824","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"673","34.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"674","34.252763","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"685","35.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"686","35.253220","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"697","36.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"698","36.253781","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"709","37.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"710","37.250824","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"721","38.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"722","38.254418","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"733","39.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"734","39.250984","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"735","39.254811","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"736","39.258908","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"747","40.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"748","40.252282","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"749","40.257868","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"761","41.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"762","41.251903","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"773","42.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"774","42.251184","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"775","42.255631","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"786","43.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"787","43.254318","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"798","44.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"799","44.251184","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"800","44.252081","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"801","44.256028","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"812","45.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"813","45.252082","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"824","46.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"825","46.251884","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"826","46.254913","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"838","47.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"839","47.252422","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"850","48.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"851","48.255816","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"862","49.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"863","49.252302","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"875","50.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"876","50.251264","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"888","51.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"889","51.253320","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"900","52.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"901","52.254798","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"912","53.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"913","53.251404","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"914","53.257747","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"925","54.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"926","54.252342","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"927","54.254312","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"939","55.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"940","55.252802","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"951","56.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"952","56.251824","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"953","56.257947","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"964","57.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"965","57.251484","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"976","58.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"977","58.250924","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"989","59.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"990","59.250864","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"991","59.251941","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"1002","60.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"1003","60.251224","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"1004","60.257747","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"1015","61.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"1016","61.253700","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"1017","61.254817","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"1028","62.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"1029","62.252182","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"1030","62.253059","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"1042","63.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"1043","63.250824","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"1054","64.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"1055","64.253500","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"1056","64.257893","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"1067","65.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
